Table QS802EW																					
2011 Census: Age of arrival in UK, local authorities in England and Wales																					
																					
England and Wales																					
Constituent Countries; Regions, counties, London boroughs, unitary																					
authorities and districts in England; unitary authorities in Wales																					
																					
All usual residents 																					
																					
																					
Area code	Area name			All categories: Age of arrival in the UK	Born in the UK	Age of arrival in the UK: 0 to 4	Age of arrival in the UK: 5 to 7	Age of arrival in the UK: 8 to 9	Age of arrival in the UK: 10 to 14	Age of arrival in the UK: 15	Age of arrival in the UK: 16 to 17	Age of arrival in the UK: 18 to 19	Age of arrival in the UK: 20 to 24	Age of arrival in the UK: 25 to 29	Age of arrival in the UK: 30 to 44	Age of arrival in the UK: 45 to 59	Age of arrival in the UK: 60 to 64	Age of arrival in the UK: 65 to 74	Age of arrival in the UK: 75 to 84	Age of arrival in the UK: 85 to 89	Age of arrival in the UK: 90 and over
				Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons
				Number	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage
																					
K04000001	ENGLAND AND WALES			56,075,912	86.6	1.7	0.6	0.4	0.9	0.2	0.6	1.0	2.8	2.3	2.3	0.5	0.1	0.1	0.0	0.0	0.0
																					
E92000001	ENGLAND			53,012,456	86.2	1.7	0.6	0.4	1.0	0.2	0.6	1.0	2.9	2.3	2.4	0.5	0.1	0.1	0.0	0.0	0.0
																					
E12000001	NORTH EAST			2,596,886	95.0	0.9	0.2	0.1	0.3	0.1	0.2	0.4	1.0	0.8	0.8	0.1	0.0	0.0	0.0	0.0	0.0
	 																				
E06000047		County Durham UA		513,242	96.8	0.7	0.2	0.1	0.2	0.0	0.1	0.2	0.5	0.5	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E06000005		Darlington UA		105,564	94.8	1.2	0.3	0.2	0.4	0.1	0.2	0.3	0.8	0.7	0.8	0.2	0.0	0.0	0.0	0.0	0.0
E06000001		Hartlepool UA		92,028	97.2	0.6	0.2	0.1	0.2	0.0	0.1	0.1	0.4	0.4	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E06000002		Middlesbrough UA		138,412	91.8	1.1	0.4	0.2	0.5	0.1	0.4	0.7	1.9	1.3	1.4	0.2	0.0	0.0	0.0	0.0	0.0
E06000048		Northumberland UA		316,028	97.2	0.8	0.2	0.1	0.2	0.0	0.1	0.1	0.4	0.4	0.4	0.1	0.0	0.0	0.0	0.0	0.0
E06000003		Redcar and Cleveland UA		135,177	97.8	0.7	0.1	0.1	0.2	0.0	0.1	0.1	0.3	0.2	0.3	0.1	0.0	0.0	0.0	0.0	0.0
E06000004		Stockton-on-Tees UA		191,610	95.4	1.0	0.3	0.1	0.3	0.1	0.2	0.3	0.8	0.6	0.7	0.1	0.0	0.0	0.0	0.0	0.0
																					
E11000004		Tyne and Wear (Met County)		1,104,825	93.5	1.0	0.3	0.2	0.4	0.1	0.3	0.5	1.4	1.0	1.1	0.2	0.0	0.0	0.0	0.0	0.0
E08000020			Gateshead	200,214	95.1	0.8	0.2	0.1	0.3	0.1	0.2	0.3	1.0	0.9	0.8	0.1	0.0	0.0	0.0	0.0	0.0
E08000021			Newcastle upon Tyne	280,177	86.6	1.6	0.6	0.4	0.8	0.2	0.7	1.1	3.3	2.1	2.2	0.3	0.0	0.0	0.0	0.0	0.0
E08000022			North Tyneside	200,801	96.0	0.8	0.2	0.1	0.3	0.1	0.1	0.2	0.6	0.6	0.7	0.1	0.0	0.0	0.0	0.0	0.0
E08000023			South Tyneside	148,127	96.6	0.7	0.2	0.1	0.2	0.0	0.1	0.2	0.5	0.5	0.6	0.1	0.0	0.0	0.0	0.0	0.0
E08000024			Sunderland	275,506	95.9	0.7	0.2	0.1	0.2	0.1	0.2	0.3	0.9	0.6	0.6	0.1	0.0	0.0	0.0	0.0	0.0
																					
E12000002	NORTH WEST 			7,052,177	91.8	1.2	0.4	0.2	0.6	0.1	0.4	0.6	1.7	1.3	1.3	0.3	0.0	0.0	0.0	0.0	0.0
																					
E06000008		Blackburn with Darwen UA		147,489	85.2	1.6	0.6	0.5	1.2	0.3	1.0	1.5	3.5	2.2	1.9	0.4	0.0	0.1	0.0	0.0	0.0
E06000009		Blackpool UA		142,065	94.6	1.0	0.3	0.2	0.3	0.1	0.2	0.3	1.0	0.9	0.9	0.2	0.0	0.0	0.0	0.0	0.0
E06000049		Cheshire East UA		370,127	94.5	1.1	0.3	0.2	0.3	0.1	0.2	0.3	0.9	0.8	1.0	0.2	0.0	0.0	0.0	0.0	0.0
E06000050		Cheshire West and Chester UA		329,608	95.1	1.0	0.3	0.1	0.3	0.1	0.2	0.3	0.9	0.7	0.8	0.2	0.0	0.0	0.0	0.0	0.0
E06000006		Halton UA		125,746	97.3	0.7	0.2	0.1	0.2	0.0	0.1	0.2	0.5	0.3	0.4	0.1	0.0	0.0	0.0	0.0	0.0
E06000007		Warrington UA		202,228	94.3	1.0	0.3	0.2	0.3	0.1	0.2	0.3	1.1	1.0	1.0	0.2	0.0	0.0	0.0	0.0	0.0
																					
E10000006		Cumbria 		499,858	96.3	0.8	0.2	0.1	0.2	0.1	0.1	0.2	0.6	0.5	0.6	0.2	0.0	0.0	0.0	0.0	0.0
E07000026			Allerdale	96,422	97.3	0.6	0.2	0.1	0.2	0.0	0.1	0.1	0.5	0.4	0.4	0.1	0.0	0.0	0.0	0.0	0.0
E07000027			Barrow-in-Furness	69,087	97.1	0.7	0.2	0.1	0.2	0.0	0.1	0.1	0.4	0.4	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000028			Carlisle	107,524	95.1	1.0	0.2	0.1	0.3	0.1	0.2	0.3	0.9	0.7	0.8	0.2	0.0	0.0	0.0	0.0	0.0
