UK/GB/E&W	Country	Region	UA/Met county/County	LA	code	fertility	price
United Kingdom					K02000001	..	..
Great Britain					K03000001	..	..
England and Wales					K04000001	..	..
United Kingdom	England				E92000001	1.96	170
United Kingdom	Wales				W92000004	1.93	133
United Kingdom	Scotland				S92000003	1.77	..
United Kingdom	Northern Ireland				N92000002	2.04	..
United Kingdom	England	North East			E12000001	1.81	120
United Kingdom	England	North West			E12000002	2.00	130
United Kingdom	England	Yorkshire and The Humber			E12000003	1.91	130
United Kingdom	England	East Midlands			E12000004	1.92	135
United Kingdom	England	West Midlands			E12000005	2.06	142
United Kingdom	England	East			E12000006	2.00	175
United Kingdom	England	London			E12000007	1.95	250
United Kingdom	England	South East			E12000008	1.97	203
United Kingdom	England	South West			E12000009	1.94	175
United Kingdom	England	North East	County Durham UA		E06000047	1.77	105
United Kingdom	England	North East	Darlington UA		E06000005	2.22	123
United Kingdom	England	North East	Hartlepool UA		E06000001	2.10	105
United Kingdom	England	North East	Middlesbrough UA		E06000002	2.01	110
United Kingdom	England	North East	Northumberland UA		E06000048	1.87	138
United Kingdom	England	North East	Redcar and Cleveland UA		E06000003	1.90	120
United Kingdom	England	North East	Stockton-on-Tees UA		E06000004	2.03	130
United Kingdom	England	North East	Tyne and Wear (Met County)		E11000004	1.71	..
United Kingdom	England	North East	Tyne and Wear (Met County)	Gateshead	E08000020	1.94	122
United Kingdom	England	North East	Tyne and Wear (Met County)	Newcastle upon Tyne	E08000021	1.63	139
United Kingdom	England	North East	Tyne and Wear (Met County)	North Tyneside	E08000022	1.89	135
United Kingdom	England	North East	Tyne and Wear (Met County)	South Tyneside	E08000023	1.72	112
United Kingdom	England	North East	Tyne and Wear (Met County)	Sunderland	E08000024	1.69	107
United Kingdom	England	North West	Blackburn with Darwen UA		E06000008	2.55	98
United Kingdom	England	North West	Blackpool UA		E06000009	2.18	103
United Kingdom	England	North West	Cheshire East UA		E06000049	2.02	165
United Kingdom	England	North West	Cheshire West and Chester UA		E06000050	1.92	158
United Kingdom	England	North West	Halton UA		E06000006	2.06	120
United Kingdom	England	North West	Warrington UA		E06000007	2.04	145
United Kingdom	England	North West	Cumbria		E10000006	2.01	..
United Kingdom	England	North West	Cumbria	Allerdale	E07000026	2.14	135
United Kingdom	England	North West	Cumbria	Barrow-in-Furness	E07000027	1.89	100
United Kingdom	England	North West	Cumbria	Carlisle	E07000028	1.99	122
