code,name,very_good,good,very_poor
A81001,THE DENSHAM SURGERY,0.522413027,0.229147319,0.015031258
A81002,QUEENS PARK MEDICAL CENTRE,0.703661195,0.161313655,0.011415482
A81003,THE GALLAGHER PRACTICE,0.3964796,0.288504385,0.025882004
A81004,WOODLANDS ROAD SURGERY,0.530635631,0.256405485,0.016777748
A81005,SPRINGWOOD SURGERY,0.479833481,0.310949722,0.005306702
A81006,TENNANT STREET MEDICAL PRACTICE,0.563802297,0.292954181,-98
A81007,BANKHOUSE SURGERY,0.591811012,0.29844454,0
A81008,ALBERT HOUSE CLINIC,0.347604482,0.423675036,0.018472583
A81009,VILLAGE MEDICAL CENTRE,0.46660043,0.261932007,0.063584999
A81011,CHADWICK PRACTICE,0.598887693,0.272621363,0.028690489
A81012,WESTBOURNE MEDICAL CENTRE,0.483007385,0.250375856,0.027537319
A81013,BROTTON SURGERY,0.686061042,0.254759547,0.032304825
A81014,QUEENSTREE PRACTICE,0.306189979,0.32846573,0.006366096
A81015,LAGAN SURGERY,0.649733527,0.208864353,0.037386841
A81016,PARK SURGERY,0.364650945,0.371456997,0.018268781
A81017,WOODBRIDGE PRACTICE,0.284851507,0.360885501,0.023268624
A81018,BENTLEY MEDICAL PRACTICE,0.598719897,0.286698458,0.021264141
A81019,CROSSFELL HEALTH CENTRE,0.299859546,0.471899065,0
A81020,MARTONSIDE MEDICAL CENTRE,0.609383764,0.248474988,0
A81021,NORMANBY MEDICAL CENTRE,0.663056673,0.237243874,0.012443789
A81022,HILLSIDE PRACTICE,0.538984303,0.328374765,-98
A81023,THE ENDEAVOUR PRACTICE,0.625862561,0.308366375,-98
A81025,THE DOVECOT SURGERY,0.432925629,0.327730556,0.016839604
A81026,THE LINTHORPE SURGERY,0.651709031,0.211196817,0.021469382
A81027,YARM MEDICAL PRACTICE,0.534983365,0.338974894,0.008876739
A81029,PROSPECT SURGERY,0.2272624,0.31338894,0.054617713
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,0.467348611,0.285917304,-98
A81031,HAVELOCK GRANGE PRACTICE,0.379991955,0.36587204,0.005640788
A81032,THE GARTH,0.520269501,0.340747752,-98
A81033,OAKFIELD MEDICAL PRACTICE,0.477601766,0.33217576,0.012547756
A81034,THORNABY & BARWICK MEDICAL GROUP,0.424660145,0.490023146,0
A81035,NEWLANDS MEDICAL PRACTICE,0.496148117,0.289377954,0.006508154
A81036,NORTON MEDICAL CENTRE,0.548268596,0.330122014,0.00992265
A81037,THE ERIMUS PRACTICE,0.483331947,0.257726307,0.019417162
A81038,HIRSEL MEDICAL CENTRE,0.321439912,0.300742542,0.029698578
A81039,EAGLESCLIFFE MEDICAL PRACTICE,0.564500397,0.319538253,0.030013405
A81040,MARSH HOUSE MEDICAL PRACTICE,0.623667773,0.236356874,0.007477168
A81041,HART MEDICAL PRACTICE,0.491424785,0.253420955,0.066892204
A81042,SOUTH GRANGE MEDICAL CENTRE,0.60842853,0.23711118,0.014793172
A81043,THE MANOR HOUSE SURGERY,0.509134329,0.322607212,0
A81044,MCKENZIE HOUSE SURGERY,0.29441415,0.339323044,0.061046401
A81045,THE COATHAM ROAD SURGERY,0.616709316,0.27136093,0.025172736
A81046,WOODLANDS FAMILY MEDICAL CENTRE,0.457119176,0.323387056,0.010185323
A81047,MARSKE MEDICAL CENTRE,0.342146617,0.241757865,0.005137114
A81048,ZETLAND MEDICAL PRACTICE,0.43249518,0.248194946,0
A81049,KINGS MEDICAL CENTRE,0.451041181,0.387092194,0.021560541
A81051,CAMBRIDGE MEDICAL GROUP,0.586349403,0.277793825,0
A81052,THE GREEN HOUSE SURGERY,0.503772612,0.273996365,0.009714633
A81053,WOODSIDE SURGERY,0.484074972,0.353672705,0.006796097
A81054,THE SALTSCAR SURGERY,0.482959093,0.329071608,0.033241877
A81056,MELROSE SURGERY,0.563760664,0.255764085,0.020141037
A81057,KINGSWAY MEDICAL CENTRE,0.726071048,0.233256783,0.009459608
A81058,COULBY MEDICAL PRACTICE,0.389521063,0.394027465,0.006370239
A81060,THE KOH PRACTICE,0.641592127,0.226955021,0.02046984
A81063,THE HEADLAND MEDICAL CENTRE,0.597887404,0.282979172,0
A81064,THE DISCOVERY PRACTICE,0.566462946,0.27854611,0.007239069
A81065,THE ESTON SURGERY,0.606849873,0.288570321,0.014081052
A81066,PARK LANE SURGERY,0.70054822,0.220977397,0
A81067,ALMA MEDICAL CENTRE,0.687791883,0.215115006,0.012712693
A81069,RAINBOW SURGERY,0.54118386,0.232915832,0.016509872
A81070,WYNYARD ROAD PRIMARY CARE CENTRE,0.592027849,0.352283256,0
A81602,DR RASOOL,0.743637084,0.1880062,0.00653177
A81605,PARK AVENUE SURGERY,0.592266103,0.22599477,0.021162722
A81608,ELM TREE MEDICAL CENTRE,0.3935829,0.238173928,0.018760237
A81609,DR BANERJEE,0.599641207,0.182274636,0.006126816
A81610,THE ROSEBERRY PRACTICE,0.507253838,0.356516781,0.029293356
A81611,PARKWAY MEDICAL CENTRE,0.576784793,0.304019283,0.005815225
A81612,THE PATEL PRACTICE,0.714183207,0.232644077,0.010477266
A81613,THE HAZLE PRACTICE,0.423651559,0.350104184,0.090877221
A81618,HUNTCLIFF SURGERY,0.672402821,0.28358073,-98
A81620,DR CHOUDHURY,0.336825305,0.353846317,0.085658933
A81621,THORNTREE SURGERY,0.362598519,0.330692344,0.022369878
A81622,GLADSTONE HOUSE SURGERY,0.513709956,0.339632197,0.00523334
A81623,DR SYED,0.713926479,0.20893274,0.024497057
A81629,RIVERSIDE MEDICAL PRACTICE,0.54785347,0.352534252,0.010448938
A81630,FULCRUM MEDICAL PRACTICE,0.534369189,0.239630534,0
A81631,WEST VIEW MILLENIUM SURGERY A,0.735765073,0.20937502,0
A81632,LAWSON STREET PRACTICE,0.190892805,0.316229149,0.03744153
A81633,HAVEN MEDICAL CENTRE,-97,-97,-97
A81634,THE ARRIVAL PRACTICE,0.500980808,0.283890309,0.054405106
A82003,ULVERSTON HEALTH CENTRE (MURRAY),0.548412031,0.284080486,0.022079425
A82004,ALSTON MEDICAL PRACTICE,0.764670188,0.190228013,0.005896141
A82005,AMBLESIDE HEALTH CENTRE,0.585235032,0.308416555,-98
A82006,APPLEBY MEDICAL PRACTICE,0.553805132,0.221849555,0.049824205
A82007,DUKE STREET SURGERY,0.583956516,0.295647885,0
A82008,NORWOOD MEDICAL CENTRE,0.34026744,0.357223568,-98
A82009,BRIDGEGATE MEDICAL CENTRE,0.496565251,0.392588651,0.011289727
A82010,ABBEY ROAD SURGERY,0.350717088,0.321000596,-98
A82011,HARTINGTON STREET MEDICAL PRACTICE,0.393900898,0.422820342,0.100825251
A82012,BRAMPTON MEDICAL PRACTICE,0.735886913,0.193364542,0.028090544
A82013,UPPER EDEN MEDICAL PRACTICE,0.746407224,0.188913128,0.005660194
A82014,CALDBECK SURGERY,0.803352685,0.099279878,0
A82015,WARWICK ROAD SURGERY,0.324927365,0.354482673,0.014911718
A82016,ST PAUL'S MEDICAL PRACTICE,0.567143435,0.277562665,0
A82017,BRUNSWICK HOUSE MEDICAL GROUP,0.474427094,0.354396663,0.016538173
A82018,SPENCER ST SURGERY,0.611933167,0.305770143,-98
A82019,FUSEHILL MEDICAL PRACTICE,0.37656952,0.363456752,0.014073866
A82020,EDEN MEDICAL GROUP,0.427008671,0.419747265,0.019138868
A82021,CASTLEGATE SURGERY,0.533572519,0.374990023,0
A82022,DALSTON MEDICAL GROUP,0.573783822,0.313720228,0
A82023,DISTINGTON SURGERY,0.630877637,0.277206869,0.011016134
A82024,SEASCALE HEALTH CENTRE,0.653760329,0.250466288,0.028153112
A82025,CAPTAIN FRENCH SURGERY,0.537808146,0.360176838,0.023454332
A82026,THE JAMES COCHRANE PRACT.,0.537780964,0.329817111,0.02953667
A82027,STATION HOUSE SURGERY,0.487953174,0.425865771,0.007565181
A82028,CASTLEHEAD MEDICAL CENTRE,0.634018047,0.315144061,0.005452127
A82029,THE CROFT SURGERY,0.718311403,0.178489497,0
A82030,LUNESDALE SURGERY,0.805750393,0.159347774,0
A82031,SHAP MEDICAL PRACTICE,0.53708535,0.340943582,0.014600318
A82032,MARYPORT HEALTH SERVICES,0.407202003,0.387180636,0.008485312
A82033,WATERLOO HOUSE SURGERY,0.548632017,0.365723166,0
A82034,STONELEIGH SURGERY,0.58520934,0.331548213,0
A82035,BIRBECK MEDICAL GROUP,0.590241104,0.31804966,0.005225429
A82036,THE LAKES MEDICAL PRACTICE,0.470355369,0.290900453,0.023566046
A82037,SILLOTH GROUP MEDICAL PRACTICE,0.629561888,0.248861825,0.012264148
A82038,TEMPLE SOWERBY MEDICAL PRACTICE,0.750531611,0.192086525,-98
A82039,DALTON SURGERY,0.491209045,0.393151277,0.019452251
A82040,CATHERINE STREET SURGERY,0.493820091,0.313471167,0.022113841
A82041,LOWTHER MEDICAL CENTRE,0.593408956,0.253884344,0.040646914
A82044,FELLVIEW HEALTHCARE LTD,0.419299527,0.412087601,0.010494195
A82045,WIGTON GROUP MEDICAL PRACTICE,0.591730976,0.272988052,0.017043394
A82046,WINDERMERE HEALTH CENTRE,0.758692638,0.184896697,0.014884801
A82047,JAMES STREET GROUP PRACT,0.245974392,0.40990437,0
A82048,BEECHWOOD GROUP PRACTICE,0.529609073,0.285856749,0.00639041
A82049,ORCHARD HOUSE SURGERY,0.510877484,0.417692712,0
A82050,OXFORD STREET SURGERY,0.423829837,0.39800398,0.012245253
A82052,STANWIX MEDICAL GROUP,0.607971152,0.240677151,0
A82053,NUTWOOD SURGERY,0.756879652,0.207341909,0.006523283
A82055,ASPATRIA MEDICAL GROUP,0.644309837,0.252085289,0.03240395
A82057,DERWENT HOUSE SURGERY,0.640921292,0.235994612,0.02751469
A82058,IRONSIDE'S FAMILY PRACTITIONERS,0.682011769,0.213943535,0.017307977
A82060,TRINITY HOUSE SURGERY,0.439048933,0.300017547,0.00550018
A82062,ATKINSON HEALTH CENTRE (WIEJAK),0.521172814,0.305742735,0.056548862
A82063,BANK STREET SURGERY,0.586130655,0.289543267,0.009495942
A82064,WESTCROFT HOUSE SURGERY,0.40671439,0.392876581,0.005168219
A82065,FAIRFIELD SURGERY,0.574695715,0.284123387,0.006707337
A82068,ULVERSTON HEALTH CENTRE  (GRAHAM),0.603987416,0.247282746,0
A82070,ST.MARY'S SURGERY,0.707534604,0.216580111,0.012319509
A82071,BURNETT EDGAR MEDICAL CTR,0.41448924,0.326599866,0.01851793
A82072,RISEDALE SURGERY,0.609208481,0.186028871,0.028655257
A82074,ARNSIDE SURGERY,0.550316195,0.237049149,0.021121754
