state	fips	name	total	obama	romney	other	obama_p	romney_p	other_p
CA	06037	Los Angeles	2427869	1672164	699600	56105	68.874	28.815	2.311
IL	17031	Cook	1944401	1439123	479204	26074	74.014	24.645	1.341
AZ	04013	Maricopa	1187008	512008	654835	20165	43.134	55.167	1.699
TX	48201	Harris	1185478	585451	584866	15161	49.385	49.336	1.279
CA	06059	Orange	1021315	457077	541592	22646	44.754	53.029	2.217
CA	06073	San Diego	928256	478386	431046	18824	51.536	46.436	2.028
FL	12086	Miami-Dade	877245	540776	332602	3867	61.645	37.914	0.441
WA	53033	King	871654	599796	252090	19768	68.811	28.921	2.268
MI	26163	Wayne	814108	595253	213586	5269	73.117	26.236	0.647
FL	12011	Broward	755166	507430	243732	4004	67.194	32.275	0.530
TX	48113	Dallas	705941	403170	294339	8432	57.111	41.695	1.194
NV	32003	Clark	688339	387978	288223	12138	56.364	41.872	1.763
MN	27053	Hennepin	677965	423979	240073	13913	62.537	35.411	2.052
PA	42101	Philadelphia	653598	557024	91840	4734	85.224	14.051	0.724
MI	26125	Oakland	650306	349055	296531	4720	53.676	45.599	0.726
NY	36047	Brooklyn	618035	503291	108630	6114	81.434	17.577	0.989
PA	42003	Allegheny	614671	348151	259304	7216	56.640	42.186	1.174
OH	39035	Cuyahoga	611512	420953	184475	6084	68.838	30.167	0.995
TX	48439	Tarrant	610149	252789	348686	8674	41.431	57.148	1.422
FL	12099	Palm Beach	600341	349418	247257	3666	58.203	41.186	0.611
CA	06065	Riverside	589721	287754	290227	11740	48.795	49.214	1.991
CA	06001	Alameda	558386	438091	104330	15965	78.457	18.684	2.859
OH	39049	Franklin	541751	325654	207941	8156	60.111	38.383	1.505
FL	12057	Hillsborough	541503	286158	249904	5441	52.845	46.150	1.005
NY	36103	Suffolk	540653	274830	259348	6475	50.833	47.969	1.198
CA	06071	San Bernardino	531692	274203	245468	12021	51.572	46.167	2.261
NC	37183	Wake	526805	286939	232933	6933	54.468	44.216	1.316
MO	29189	St. Louis County	524628	294735	223102	6791	56.180	42.526	1.294
TX	48029	Bexar	511405	263871	240519	7015	51.597	47.031	1.372
NY	36081	Queens	507722	399970	103193	4559	78.777	20.325	0.898
NY	36061	Manhattan	496293	417861	72300	6132	84.196	14.568	1.236
CA	06085	Santa Clara	491687	343239	136347	12101	69.808	27.730	2.461
WI	55079	Milwaukee	490944	328090	158430	4424	66.828	32.270	0.901
FL	12095	Orange	467385	274227	189057	4101	58.673	40.450	0.877
NY	36059	Nassau	460824	243649	212882	4293	52.872	46.196	0.932
FL	12103	Pinellas	457484	238966	213192	5326	52.235	46.601	1.164
NC	37119	Mecklenburg	445062	270705	170490	3867	60.824	38.307	0.869
VA	51059	Fairfax	440174	260835	173786	5553	59.257	39.481	1.262
FL	12031	Duval	411702	196657	211553	3492	47.767	51.385	0.848
MD	24031	Montgomery	404214	286493	110940	6781	70.877	27.446	1.678
MI	26099	Macomb	403388	207992	191896	3500	51.561	47.571	0.868
OH	39061	Hamilton	402572	208508	188653	5411	51.794	46.862	1.344
PA	42091	Montgomery	401787	227561	169903	4323	56.637	42.287	1.076
IL	17043	DuPage	397173	197411	193333	6429	49.704	48.677	1.619
CA	06067	Sacramento	388090	221063	157688	9339	56.962	40.632	2.406
GA	13121	Fulton	386845	248479	133837	4529	64.232	34.597	1.171
NY	36029	Erie	386665	220184	159678	6803	56.944	41.296	1.759
TX	48453	Travis	384890	231540	139503	13847	60.157	36.245	3.598
TN	47157	Shelby	370749	232201	135536	3012	62.630	36.557	0.812
IN	18097	Marion	357745	215474	136131	6140	60.231	38.053	1.716
MD	24005	Baltimore	354655	202733	144686	7236	57.163	40.796	2.040
MD	24033	Prince George's	352292	317342	32236	2714	90.079	9.150	0.770
NJ	34003	Bergen	352023	193470	155267	3286	54.959	44.107	0.933
AZ	04019	Pima	351817	183470	162927	5420	52.149	46.310	1.541
CA	06013	Contra Costa	351257	230826	112547	7884	65.714	32.041	2.245
OR	41051	Multnomah	344614	261222	71947	11445	75.801	20.878	3.321
