country	0	corruption	democracy_2008	democracy_2011	gdp	gini	life_expectancy
Afghanistan	0	8			1000		49.72
Albania	0	33	56	56.5	7800	34.5	77.59
Algeria	0	34			7300	35.3	74.73
American Samoa					8000		74.44
Andorra	0				37200		82.5
Angola	0	22			5900		54.59
Anguilla					12200		80.98
Antarctica	0						
Antigua and Barbuda	0				17100		75.69
Argentina	0	35	63.3	64	17700	45.8	77.14
Armenia	0	34	43.9	44.2	5400	30.9	73.49
Aruba					21800		75.93
Australia	0	85	78.9	79.6	40800	30.5	81.9
Austria	0	69	79.7	80.6	41600	26	79.91
Azerbaijan	0	27			10200	33.7	71.32
Bahamas	0	71			30400		71.44
Bahrain	0	51	43.2	40.6	27700		78.29
Bangladesh	0	26	42.6	48.8	1900	33.2	70.06
Barbados	0	76			25000		74.52
Belarus	0	31			15000	27.2	71.48
Belgium	0	75	78	80	37800	28	79.65
Belize	0				8200		68.28
Benin	0	36	45.5	47.6	1600	36.5	60.26
Bermuda	0				69900		80.82
Bhutan	0	63			5800		67.88
Bolivia	0	34	53.4	54.5	4800	58.2	67.9
Bosnia and Herzegovina	0	42	48.3	48.5	8100	36.2	78.96
Botswana	0	65	54.7	54	16100	63	55.74
Brazil	0	43	60.4	62.3	11800	51.9	72.79
British Virgin Islands					38500		77.95
Brunei Darussalam	0	55			49500		76.37
Bulgaria	0	41	64.2	63.5	13800	45.3	73.84
Burkina Faso	0	38			1300	39.5	54.07
Burma	0				1300		65.24
Burundi	0	19			600	42.4	59.24
Cambodia	0	22			2200	44.4	63.04
Cameroon	0	26			2300	44.6	54.71
Canada	0	84	79.1	80	40500	32.1	81.48
Cape Verde	0	60			3900		71
Cayman Islands					43800		80.8
Central African Republic	0	26			800	61.3	50.48
Chad	0	19			1900		48.69
Chile	0	72	70.8	71.6	17400	52.1	78.1
China	0	39	36.2	36.9	8400	48	74.84
Colombia	0	36	55.5	56	10200	56	74.79
Comoros	0	28			1200		62.74
Congo	0						
Congo Republic		26			4500		55.27
Cook Islands					9100		74.92
Costa Rica	0	54	69.8	71.1	11900	50.3	77.89
Cote d'Ivoire	0	29			1600	41.5	57.25
Croatia	0	46	67	67.7	18000	27	75.99
Cuba	0	48			9900		77.87
Curacao					15000		
Cyprus	0	66	71.4	71.8	27500	29	78
Czech Republic	0	49	71.4	71	27100	31	77.38
Democratic Republic of the Congo	0	21					
Denmark	0	90	83.8	84.1	37000	24.8	78.78
Djibouti	0	36			2600		61.57
Dominica	0	58			14300		76.18
Dominican Republic	0	32	58.7	57.6	9300	48.4	77.44
Ecuador	0	32	57.8	57.2	8500	47.3	75.94
Egypt	0	32	34.8	37.1	6500	34.4	72.93
El Salvador	0	38	58.4	59	7500	46.9	73.69
Equatorial Guinea	0	20			19300		62.75
Eritrea	0	25			700		62.86
Estonia	0	64	72.5	71.6	20400	31.3	73.58
Ethiopia	0	33			1100	30	56.56
Faroe Islands	0				30500		79.85
Fiji	0				4600		71.59
Finland	0	90	85.8	86.3	36000	26.8	79.41
France	0	71	77.3	76.3	35100	32.7	81.46
French Guiana	0						
French Polynesia	0				18000		76.39
Gabon	0	35			16300		52.29
Gambia	0	34			1900	50.2	63.82
Georgia	0	52	52.1	54.8	5500	40.8	77.32
Germany	0	79	80.3	81.6	38100	27	80.19
Ghana	0	45	55.9	57.5	3100	39.4	61.45
Gibraltar					43000		78.83
Greece	0	36	70.2	68.5	26300	33	80.05
Greenland	0				37400		71.25
Grenada	0				13800		73.3
Guadeloupe	0						
Guam					15000		78.5
Guatemala	0	33	48.8	49.9	5100	55.1	71.17
Guernsey					44600		82.24
Guinea	0	24			1100	39.4	58.61
Guinea-Bissau	0	25	36.3	35.1	1100		49.11
Guyana	0	28			7600	44.6	67.39
Haiti	0	19	38.1	39.7	1200	59.2	62.51
Honduras	0	28	52	49.8	4400	57.7	70.71
Hong Kong		77			49400	53.3	82.12
Hungary	0	55	70.1	67.6	19600	24.7	75.02
Iceland	0	82			38100	28	81
India	0	36	48.7	50.1	3700	36.8	67.14
Indonesia	0	32	50.8	52.7	4700	36.8	71.62
Iran (Islamic Republic of)	0	28			13200	44.5	70.35
Iraq	0	18			4200		70.85
Ireland	0	69	80.8	81	40800	33.9	80.32
Isle of Man	0				35000		80.76
Israel	0	60	74.3	73.9	31500	39.2	81.07
Italy	0	42	72.4	70.7	30500	32	81.86
Jamaica	0	38	60.2	59.9	8900	45.5	73.43
Japan	0	74	73.9	74.8	34700	37.6	83.91
Jersey					57000		81.47
Jordan	0	48			5900	39.7	80.18
Kazakhstan	0	28			13000	26.7	69.63
Kenya	0	27	40	42.7	1700	42.5	63.07
Kiribati	0				5700		64.76
