name	democracy_2008	democracy_2011
Albania	56.0	56.5
Argentina	63.3	64.0
Armenia	43.9	44.2
Australia	78.9	79.6
Austria	79.7	80.6
Bahrain	43.2	40.6
Bangladesh	42.6	48.8
Belgium	78.0	80.0
Benin	45.5	47.6
Bolivia	53.4	54.5
Bosnia and Herzegovina	48.3	48.5
Botswana	54.7	54.0
Brazil	60.4	62.3
Bulgaria	64.2	63.5
Canada	79.1	80.0
Chile	70.8	71.6
China	36.2	36.9
Colombia	55.5	56.0
Costa Rica	69.8	71.1
Croatia	67.0	67.7
Cyprus	71.4	71.8
Czech Republic	71.4	71.0
Denmark	83.8	84.1
Dominican Republic	58.7	57.6
Ecuador	57.8	57.2
Egypt, Arab Rep.	34.8	37.1
El Salvador	58.4	59.0
Estonia	72.5	71.6
Finland	85.8	86.3
France	77.3	76.3
Georgia	52.1	54.8
Germany	80.3	81.6
Ghana	55.9	57.5
Greece	70.2	68.5
Guatemala	48.8	49.9
Guinea-Bissau	36.3	35.1
Haiti	38.1	39.7
Honduras	52.0	49.8
Hungary	70.1	67.6
India	48.7	50.1
Indonesia	50.8	52.7
Ireland	80.8	81.0
Israel	74.3	73.9
Italy	72.4	70.7
Jamaica	60.2	59.9
Japan	73.9	74.8
Kenya	40.0	42.7
Korea, Rep.	69.5	70.9
Kuwait	50.0	50.2
Kyrgyz Republic	45.5	45.7
Latvia	70.6	68.4
Lebanon	46.8	48.3
Lesotho	48.9	49.4
Libya	25.5	29.6
Lithuania	71.4	70.2
Macedonia, FYR	52.6	54.6
Malaysia	50.6	51.5
Mauritius	64.6	65.7
Mexico	57.9	56.6
Moldova	53.4	56.7
Mongolia	56.5	58.3
Morocco	42.9	43.0
Mozambique	41.4	41.8
Namibia	52.5	53.2
Nepal	44.4	45.0
Netherlands	82.7	83.0
New Zealand	82.6	82.7
Nicaragua	53.1	53.6
Nigeria	36.3	37.4
Norway	87.3	88.5
Pakistan	33.5	37.1
Panama	63.7	65.1
Paraguay	52.4	53.7
Peru	61.1	61.0
Philippines	53.9	55.8
Poland	69.2	70.5
Portugal	75.4	75.6
Romania	62.4	63.4
Russia	44.5	44.5
Senegal	48.6	49.2
Serbia	59.6	60.8
Singapore	62.8	64.9
Slovak Republic	68.7	68.0
Slovenia	74.8	75.0
South Africa	53.8	53.3
Spain	77.6	77.1
Sri Lanka	51.5	49.8
Sweden	87.3	86.9
Switzerland	84.5	85.4
Syrian Arab Republic	30.1	29.5
Tanzania	45.6	48.7
Thailand	49.7	51.6
Timor-Leste	46.2	47.3
Togo	31.9	34.6
Trinidad and Tobago	59.6	60.1
Tunisia	37.8	45.8
Turkey	53.4	53.4
Ukraine	56.0	54.3
United Kingdom	80.1	79.7
United States	78.3	78.5
Uruguay	71.5	72.3
Venezuela, RB	48.9	48.2
Yemen, Rep.	25.7	25.9
Zambia	37.4	41.0
