name	gdp
Afghanistan	1000
Albania	7800
Algeria	7300
American Samoa	8000
Andorra	37200
Angola	5900
Anguilla	12200
Antigua and Barbuda	17100
Argentina	17700
Armenia	5400
Aruba	21800
Australia	40800
Austria	41600
Azerbaijan	10200
Bahamas, The	30400
Bahrain	27700
Bangladesh	1900
Barbados	25000
Belarus	15000
Belgium	37800
Belize	8200
Benin	1600
Bermuda	69900
Bhutan	5800
Bolivia	4800
Bosnia and Herzegovina	8100
Botswana	16100
Brazil	11800
British Virgin Islands	38500
Brunei	49500
Bulgaria	13800
Burkina Faso	1300
Burma	1300
Burundi	600
Cambodia	2200
Cameroon	2300
Canada	40500
Cape Verde	3900
Cayman Islands	43800
Central African Republic	800
Chad	1900
Chile	17400
China	8400
Colombia	10200
Comoros	1200
Congo, Democratic Republic of the	300
Congo, Republic of the	4500
Cook Islands	9100
Costa Rica	11900
Cote d'Ivoire	1600
Croatia	18000
Cuba	9900
Curacao	15000
Cyprus	27500
Czech Republic	27100
Denmark	37000
Djibouti	2600
Dominica	14300
Dominican Republic	9300
Ecuador	8500
Egypt	6500
El Salvador	7500
Equatorial Guinea	19300
Eritrea	700
Estonia	20400
Ethiopia	1100
European Union	34100
Falkland Islands (Islas Malvinas)	55400
Faroe Islands	30500
Fiji	4600
Finland	36000
France	35100
French Polynesia	18000
Gabon	16300
Gambia, The	1900
Georgia	5500
Germany	38100
Ghana	3100
Gibraltar	43000
Greece	26300
Greenland	37400
Grenada	13800
Guam	15000
Guatemala	5100
Guernsey	44600
Guinea	1100
Guinea-Bissau	1100
Guyana	7600
Haiti	1200
Honduras	4400
Hong Kong	49400
Hungary	19600
Iceland	38100
India	3700
Indonesia	4700
Iran	13200
Iraq	4200
Ireland	40800
Isle of Man	35000
Israel	31500
Italy	30500
Jamaica	8900
Japan	34700
Jersey	57000
Jordan	5900
Kazakhstan	13000
Kenya	1700
Kiribati	5700
Korea, North	1800
Korea, South	31200
Kosovo	6500
Kuwait	41700
Kyrgyzstan	2400
Laos	2800
Latvia	16800
Lebanon	15500
Lesotho	1900
Liberia	600
Libya	6000
Liechtenstein	89400
Lithuania	19100
Luxembourg	80600
Macau	33000
Macedonia	10500
Madagascar	900
Malawi	900
Malaysia	16200
Maldives	8600
Mali	1100
Malta	25600
Marshall Islands	2500
Mauritania	2000
Mauritius	15000
Mexico	14700
Micronesia, Federated States of	2200
Moldova	3400
Mongolia	4800
Montenegro	11500
Montserrat	8500
Morocco	5100
Mozambique	1100
Namibia	7500
Nauru	5000
Nepal	1200
Netherlands	42000
New Caledonia	15000
New Zealand	28000
Nicaragua	3200
Niger	800
Nigeria	2600
Niue	5800
Northern Mariana Islands	12500
Norway	53400
Oman	27600
Pakistan	2800
Palau	8100
Panama	14100
Papua New Guinea	2500
Paraguay	6200
Peru	10100
Philippines	4100
Poland	20200
Portugal	23400
Puerto Rico	16300
Qatar	98900
Romania	12500
Russia	16700
Rwanda	1300
Saint Helena, Ascension, and Tristan da Cunha	2500
Saint Kitts and Nevis	15600
Saint Lucia	13100
Saint Pierre and Miquelon	7000
Saint Vincent and the Grenadines	11500
Samoa	6000
San Marino	36200
Sao Tome and Principe	2300
Saudi Arabia	24400
Senegal	2000
Serbia	10400
Seychelles	25400
Sierra Leone	1100
Singapore	59700
Sint Maarten	15400
Slovakia	23300
Slovenia	28800
Solomon Islands	3200
Somalia	600
South Africa	11000
South Sudan	2100
Spain	30500
Sri Lanka	5700
Sudan	2700
Suriname	11800
Swaziland	5300
Sweden	40700
Switzerland	44500
Syria	5100
Taiwan	37700
Tajikistan	2100
Tanzania	1600
Thailand	9400
Timor-Leste	8700
Togo	1000
Tokelau	1000
Tonga	7300
Trinidad and Tobago	20000
Tunisia	9400
Turkey	14400
Turkmenistan	7800
Turks and Caicos Islands	11500
Tuvalu	3300
Uganda	1400
Ukraine	7200
United Arab Emirates	47700
United Kingdom	36500
United States	48300
Uruguay	15100
Uzbekistan	3300
Vanuatu	4800
Venezuela	12600
Vietnam	3400
Virgin Islands	14500
Wallis and Futuna	3800
West Bank	2900
Western Sahara	2500
Yemen	2300
Zambia	1600
Zimbabwe	500
