name	gdp
Qatar	98900
Liechtenstein	89400
Luxembourg	80600
Bermuda	69900
Singapore	59700
Jersey	57000
Falkland Islands (Islas Malvinas)	55400
Norway	53400
Brunei	49500
Hong Kong	49400
United States	48300
United Arab Emirates	47700
Guernsey	44600
Switzerland	44500
Cayman Islands	43800
Gibraltar	43000
Netherlands	42000
Kuwait	41700
Austria	41600
Ireland	40800
Australia	40800
Sweden	40700
Canada	40500
British Virgin Islands	38500
Iceland	38100
Germany	38100
Belgium	37800
Taiwan	37700
Greenland	37400
Andorra	37200
Denmark	37000
United Kingdom	36500
San Marino	36200
Finland	36000
France	35100
Isle of Man	35000
Japan	34700
European Union	34100
Macau	33000
Israel	31500
Korea, South	31200
Spain	30500
Faroe Islands	30500
Italy	30500
Bahamas, The	30400
Slovenia	28800
New Zealand	28000
Bahrain	27700
Oman	27600
Cyprus	27500
Czech Republic	27100
Greece	26300
Malta	25600
Seychelles	25400
Barbados	25000
Saudi Arabia	24400
Portugal	23400
Slovakia	23300
Aruba	21800
Estonia	20400
Poland	20200
Trinidad and Tobago	20000
Hungary	19600
Equatorial Guinea	19300
Lithuania	19100
Croatia	18000
French Polynesia	18000
Argentina	17700
Chile	17400
Antigua and Barbuda	17100
Latvia	16800
Russia	16700
Puerto Rico	16300
Gabon	16300
Malaysia	16200
Botswana	16100
Saint Kitts and Nevis	15600
Lebanon	15500
Sint Maarten	15400
Uruguay	15100
New Caledonia	15000
Mauritius	15000
Belarus	15000
Curacao	15000
Guam	15000
Mexico	14700
Virgin Islands	14500
Turkey	14400
Dominica	14300
Panama	14100
Grenada	13800
Bulgaria	13800
Iran	13200
Saint Lucia	13100
Kazakhstan	13000
Venezuela	12600
Northern Mariana Islands	12500
Romania	12500
Anguilla	12200
Costa Rica	11900
Suriname	11800
Brazil	11800
Montenegro	11500
Turks and Caicos Islands	11500
Saint Vincent and the Grenadines	11500
South Africa	11000
Macedonia	10500
Serbia	10400
Azerbaijan	10200
Colombia	10200
Peru	10100
Cuba	9900
Tunisia	9400
Thailand	9400
Dominican Republic	9300
Cook Islands	9100
Jamaica	8900
Timor-Leste	8700
Maldives	8600
Ecuador	8500
Montserrat	8500
China	8400
Belize	8200
Bosnia and Herzegovina	8100
Palau	8100
American Samoa	8000
Albania	7800
Turkmenistan	7800
Guyana	7600
El Salvador	7500
Namibia	7500
Algeria	7300
Tonga	7300
Ukraine	7200
Saint Pierre and Miquelon	7000
Kosovo	6500
Egypt	6500
Paraguay	6200
Libya	6000
Samoa	6000
Jordan	5900
Angola	5900
Bhutan	5800
Niue	5800
Kiribati	5700
Sri Lanka	5700
Georgia	5500
Armenia	5400
Swaziland	5300
Morocco	5100
Guatemala	5100
Syria	5100
Nauru	5000
Mongolia	4800
Bolivia	4800
Vanuatu	4800
Indonesia	4700
Fiji	4600
Congo, Republic of the	4500
Honduras	4400
Iraq	4200
Philippines	4100
Cape Verde	3900
Wallis and Futuna	3800
India	3700
Vietnam	3400
Moldova	3400
Uzbekistan	3300
Tuvalu	3300
Solomon Islands	3200
Nicaragua	3200
Ghana	3100
West Bank	2900
Laos	2800
Pakistan	2800
Sudan	2700
Djibouti	2600
Nigeria	2600
Papua New Guinea	2500
Marshall Islands	2500
Western Sahara	2500
Saint Helena, Ascension, and Tristan da Cunha	2500
Kyrgyzstan	2400
Sao Tome and Principe	2300
Cameroon	2300
Yemen	2300
Micronesia, Federated States of	2200
Cambodia	2200
Tajikistan	2100
South Sudan	2100
Mauritania	2000
Senegal	2000
Chad	1900
Gambia, The	1900
Bangladesh	1900
Lesotho	1900
Korea, North	1800
Kenya	1700
Tanzania	1600
Benin	1600
Cote d'Ivoire	1600
Zambia	1600
Uganda	1400
Burma	1300
Burkina Faso	1300
Rwanda	1300
Nepal	1200
Haiti	1200
Comoros	1200
Guinea	1100
Ethiopia	1100
Sierra Leone	1100
Mali	1100
Mozambique	1100
Guinea-Bissau	1100
Togo	1000
Afghanistan	1000
Tokelau	1000
Madagascar	900
Malawi	900
Central African Republic	800
Niger	800
Eritrea	700
Somalia	600
Liberia	600
Burundi	600
Zimbabwe	500
Congo, Democratic Republic of the	300
