name	gini
Albania	34.5
Algeria	35.3
Argentina	45.8
Armenia	30.9
Australia	30.5
Austria	26
Azerbaijan	33.7
Bangladesh	33.2
Belarus	27.2
Belgium	28
Benin	36.5
Bolivia	58.2
Bosnia and Herzegovina	36.2
Botswana	63
Brazil	51.9
Bulgaria	45.3
Burkina Faso	39.5
Burundi	42.4
Cambodia	44.4
Cameroon	44.6
Canada	32.1
Central African Republic	61.3
Chile	52.1
China	48
Colombia	56
Costa Rica	50.3
Cote d'Ivoire	41.5
Croatia	27
Cyprus	29
Czech Republic	31
Denmark	24.8
Dominican Republic	48.4
Ecuador	47.3
Egypt	34.4
El Salvador	46.9
Estonia	31.3
Ethiopia	30
European Union	30.4
Finland	26.8
France	32.7
Gambia, The	50.2
Georgia	40.8
Germany	27
Ghana	39.4
Greece	33
Guatemala	55.1
Guinea	39.4
Guyana	44.6
Haiti	59.2
Honduras	57.7
Hong Kong	53.3
Hungary	24.7
Iceland	28
India	36.8
Indonesia	36.8
Iran	44.5
Ireland	33.9
Israel	39.2
Italy	32
Jamaica	45.5
Japan	37.6
Jordan	39.7
Kazakhstan	26.7
Kenya	42.5
Korea, South	31
Kosovo	30
Kyrgyzstan	33.4
Laos	36.7
Latvia	35.2
Lesotho	63.2
Lithuania	35.5
Luxembourg	26
Macedonia	44.2
Madagascar	47.5
Malawi	39
Malaysia	46.2
Mali	40.1
Malta	26
Mauritania	39
Mauritius	39
Mexico	51.7
Moldova	38
Mongolia	36.5
Montenegro	24.3
Morocco	40.9
Mozambique	45.6
Namibia	70.7
Nepal	47.2
Netherlands	30.9
New Zealand	36.2
Nicaragua	40.5
Niger	34
Nigeria	43.7
Norway	25
Pakistan	30.6
Panama	51.9
Papua New Guinea	50.9
Paraguay	53.2
Peru	46
Philippines	45.8
Poland	34.2
Portugal	38.5
Romania	33.3
Russia	42
Rwanda	46.8
Senegal	41.3
Serbia	28.2
Sierra Leone	62.9
Singapore	47.3
Slovakia	26
Slovenia	28.4
South Africa	65
Spain	32
Sri Lanka	49
Swaziland	50.4
Sweden	23
Switzerland	33.7
Taiwan	32.6
Tajikistan	32.6
Tanzania	37.6
Thailand	53.6
Timor-Leste	31.9
Tunisia	40
Turkey	40.2
Turkmenistan	40.8
Uganda	44.3
Ukraine	27.5
United Kingdom	34
United States	45
Uruguay	45.3
Uzbekistan	36.8
Venezuela	39
Vietnam	37.6
Yemen	37.7
Zambia	50.8
Zimbabwe	50.1
