1	Namibia	             70.7
2	South Africa	             65.0
3	Lesotho	             63.2
4	Botswana	             63.0
5	Sierra Leone	             62.9
6	Central African Republic	             61.3
7	Haiti	             59.2
8	Bolivia	             58.2
9	Honduras	             57.7
10	Colombia	             56.0
11	Guatemala	             55.1
12	Thailand	             53.6
13	Hong Kong	             53.3
14	Paraguay	             53.2
15	Chile	             52.1
16	Brazil	             51.9
17	Panama	             51.9
18	Mexico	             51.7
19	Papua New Guinea	             50.9
20	Zambia	             50.8
21	Swaziland	             50.4
22	Costa Rica	             50.3
23	Gambia, The	             50.2
24	Zimbabwe	             50.1
25	Sri Lanka	             49.0
26	Dominican Republic	             48.4
27	China	             48.0
28	Madagascar	             47.5
29	Singapore	             47.3
30	Ecuador	             47.3
31	Nepal	             47.2
32	El Salvador	             46.9
33	Rwanda	             46.8
34	Malaysia	             46.2
35	Peru	             46.0
36	Argentina	             45.8
37	Philippines	             45.8
38	Mozambique	             45.6
39	Jamaica	             45.5
40	Uruguay	             45.3
41	Bulgaria	             45.3
42	United States	             45.0
43	Guyana	             44.6
44	Cameroon	             44.6
45	Iran	             44.5
46	Cambodia	             44.4
47	Uganda	             44.3
48	Macedonia	             44.2
49	Nigeria	             43.7
50	Kenya	             42.5
51	Burundi	             42.4
52	Russia	             42.0
53	Cote d'Ivoire	             41.5
54	Senegal	             41.3
55	Morocco	             40.9
56	Georgia	             40.8
57	Turkmenistan	             40.8
58	Nicaragua	             40.5
59	Turkey	             40.2
60	Mali	             40.1
61	Tunisia	             40.0
62	Jordan	             39.7
63	Burkina Faso	             39.5
64	Guinea	             39.4
65	Ghana	             39.4
66	Israel	             39.2
67	Mauritania	             39.0
68	Mauritius	             39.0
69	Venezuela	             39.0
70	Malawi	             39.0
71	Portugal	             38.5
72	Moldova	             38.0
73	Yemen	             37.7
74	Vietnam	             37.6
75	Japan	             37.6
76	Tanzania	             37.6
77	India	             36.8
78	Uzbekistan	             36.8
79	Indonesia	             36.8
80	Laos	             36.7
81	Mongolia	             36.5
82	Benin	             36.5
83	New Zealand	             36.2
84	Bosnia and Herzegovina	             36.2
85	Lithuania	             35.5
86	Algeria	             35.3
87	Latvia	             35.2
88	Albania	             34.5
89	Egypt	             34.4
90	Poland	             34.2
91	United Kingdom	             34.0
92	Niger	             34.0
93	Ireland	             33.9
94	Switzerland	             33.7
95	Azerbaijan	             33.7
96	Kyrgyzstan	             33.4
97	Romania	             33.3
98	Bangladesh	             33.2
99	Greece	             33.0
100	France	             32.7
101	Taiwan	             32.6
102	Tajikistan	             32.6
103	Canada	             32.1
104	Italy	             32.0
105	Spain	             32.0
106	Timor-Leste	             31.9
107	Estonia	             31.3
108	Korea, South	             31.0
109	Czech Republic	             31.0
110	Armenia	             30.9
111	Netherlands	             30.9
112	Pakistan	             30.6
113	Australia	             30.5
114	European Union	             30.4
115	Ethiopia	             30.0
116	Kosovo	             30.0
117	Cyprus	             29.0
118	Slovenia	             28.4
119	Serbia	             28.2
120	Iceland	             28.0
121	Belgium	             28.0
122	Ukraine	             27.5
123	Belarus	             27.2
124	Germany	             27.0
125	Croatia	             27.0
126	Finland	             26.8
127	Kazakhstan	             26.7
128	Slovakia	             26.0
129	Luxembourg	             26.0
130	Malta	             26.0
131	Austria	             26.0
132	Norway	             25.0
133	Denmark	             24.8
134	Hungary	             24.7
135	Montenegro	             24.3
136	Sweden	             23.0
