name	life_expectancy
Monaco	89.68
Macau	84.43
Japan	83.91
Singapore	83.75
San Marino	83.07
Andorra	82.5
Guernsey	82.24
Hong Kong	82.12
Australia	81.9
Italy	81.86
Liechtenstein	81.5
Canada	81.48
Jersey	81.47
France	81.46
Spain	81.27
Sweden	81.18
Switzerland	81.17
Israel	81.07
Iceland	81
Anguilla	80.98
Netherlands	80.91
Bermuda	80.82
Cayman Islands	80.8
Isle of Man	80.76
New Zealand	80.71
Ireland	80.32
Norway	80.32
Germany	80.19
Jordan	80.18
United Kingdom	80.17
Greece	80.05
Saint Pierre and Miquelon	80
Austria	79.91
Faroe Islands	79.85
Malta	79.85
European Union	79.76
Luxembourg	79.75
Belgium	79.65
Virgin Islands	79.47
Finland	79.41
Korea, South	79.3
Turks and Caicos Islands	79.26
Wallis and Futuna	79.12
Puerto Rico	79.07
Bosnia and Herzegovina	78.96
Saint Helena, Ascension, and Tristan da Cunha	78.91
Gibraltar	78.83
Denmark	78.78
Portugal	78.7
Guam	78.5
United States	78.49
Taiwan	78.48
Bahrain	78.29
Chile	78.1
Qatar	78.09
Cyprus	78
Panama	77.96
British Virgin Islands	77.95
Costa Rica	77.89
Cuba	77.87
Libya	77.83
Albania	77.59
Slovenia	77.48
Dominican Republic	77.44
Czech Republic	77.38
Georgia	77.32
Kuwait	77.28
Northern Mariana Islands	77.27
Argentina	77.14
Saint Lucia	77.04
New Caledonia	76.94
United Arab Emirates	76.71
Mexico	76.66
Uruguay	76.41
Paraguay	76.4
French Polynesia	76.39
Brunei	76.37
Poland	76.25
Dominica	76.18
Morocco	76.11
Slovakia	76.03
Croatia	75.99
Sri Lanka	75.94
Ecuador	75.94
Aruba	75.93
Antigua and Barbuda	75.69
Lithuania	75.55
Tonga	75.38
Macedonia	75.36
West Bank	75.24
Tunisia	75.24
Lebanon	75.23
Hungary	75.02
Cook Islands	74.92
Syria	74.92
China	74.84
Saint Kitts and Nevis	74.84
Colombia	74.79
Algeria	74.73
Mauritius	74.71
Maldives	74.69
Serbia	74.56
Barbados	74.52
Oman	74.47
American Samoa	74.44
Solomon Islands	74.42
Saint Vincent and the Grenadines	74.39
Saudi Arabia	74.35
Romania	74.22
Gaza Strip	74.16
Venezuela	74.08
Malaysia	74.04
Bulgaria	73.84
Thailand	73.83
Seychelles	73.77
El Salvador	73.69
Estonia	73.58
Armenia	73.49
Jamaica	73.43
Montserrat	73.41
Grenada	73.3
Egypt	72.93
Latvia	72.93
Brazil	72.79
Turkey	72.77
Uzbekistan	72.77
Peru	72.73
Samoa	72.66
Vietnam	72.41
Nicaragua	72.18
Palau	72.06
Marshall Islands	72.03
Philippines	71.94
Micronesia, Federated States of	71.8
Trinidad and Tobago	71.67
Indonesia	71.62
Fiji	71.59
Belarus	71.48
Bahamas, The	71.44
Azerbaijan	71.32
Greenland	71.25
Guatemala	71.17
Suriname	71.12
Cape Verde	71
Iraq	70.85
Honduras	70.71
Iran	70.35
Bangladesh	70.06
Kazakhstan	69.63
Moldova	69.51
Kyrgyzstan	69.45
Korea, North	69.2
Turkmenistan	68.84
Ukraine	68.74
Mongolia	68.63
Belize	68.28
Timor-Leste	68.27
Bolivia	67.9
Bhutan	67.88
Guyana	67.39
India	67.14
Nepal	66.51
Papua New Guinea	66.46
Russia	66.46
Tajikistan	66.38
Pakistan	66.35
Nauru	65.7
Burma	65.24
Tuvalu	65.11
Vanuatu	65.06
Kiribati	64.76
Yemen	64.11
Madagascar	64
Gambia, The	63.82
Sao Tome and Principe	63.49
Togo	63.17
Kenya	63.07
Cambodia	63.04
Eritrea	62.86
Laos	62.77
Equatorial Guinea	62.75
Comoros	62.74
Sudan	62.57
Haiti	62.51
Djibouti	61.57
Mauritania	61.53
Western Sahara	61.52
Ghana	61.45
Benin	60.26
Senegal	60.18
Burundi	59.24
Guinea	58.61
Rwanda	58.44
Liberia	57.41
Cote d'Ivoire	57.25
Ethiopia	56.56
Sierra Leone	56.55
Botswana	55.74
Congo, Democratic Republic of the	55.74
Congo, Republic of the	55.27
Cameroon	54.71
Angola	54.59
Burkina Faso	54.07
Niger	53.8
Uganda	53.45
Tanzania	53.14
Mali	53.06
Zambia	52.57
Malawi	52.31
Gabon	52.29
Namibia	52.17
Nigeria	52.05
Mozambique	52.02
Lesotho	51.86
Zimbabwe	51.82
Somalia	50.8
Central African Republic	50.48
Afghanistan	49.72
Swaziland	49.42
South Africa	49.41
Guinea-Bissau	49.11
Chad	48.69
